Ensembl	EntrezGene
AT1G06430-TAIR-G	837154
AT1G06440-TAIR-G	837156
AT1G06450-TAIR-G	837157
AT1G06460-TAIR-G	837158
AT1G06470-TAIR-G	837159
AT1G06475-TAIR-G	2745744
AT1G06490-TAIR-G	837160
AT1G06500-TAIR-G	837161
AT1G06510-TAIR-G	837162
AT1G06515-TAIR-G	5007668
AT1G06520-TAIR-G	837163
AT1G06530-TAIR-G	837164
AT1G06540-TAIR-G	837165
AT1G06550-TAIR-G	837166
AT1G06560-TAIR-G	837167
AT1G06570-TAIR-G	837168
AT1G06580-TAIR-G	837169
AT1G06590-TAIR-G	837170
AT1G06620-TAIR-G	837171
AT1G06630-TAIR-G	837172
AT1G06640-TAIR-G	837173
AT1G06645-TAIR-G	3766668
AT1G06650-TAIR-G	837175
AT1G06660-TAIR-G	837176
AT1G06670-TAIR-G	837177
AT1G06680-TAIR-G	837178
AT1G06690-TAIR-G	837179
AT1G06700-TAIR-G	837180
AT1G06710-TAIR-G	837181
AT1G06720-TAIR-G	837182
AT1G06730-TAIR-G	837184
AT1G06750-TAIR-G	837186
AT1G06760-TAIR-G	837187
AT1G06770-TAIR-G	837188
AT1G06780-TAIR-G	837189
AT1G06790-TAIR-G	837190
AT1G06800-TAIR-G	837191
AT1G06810-TAIR-G	837192
AT1G06820-TAIR-G	837193
AT1G06830-TAIR-G	837195
AT1G06840-TAIR-G	837196
AT1G06850-TAIR-G	837197
AT1G06870-TAIR-G	837198
AT1G06890-TAIR-G	837199
AT1G06900-TAIR-G	837200
AT1G06910-TAIR-G	837201
AT1G06920-TAIR-G	837202
AT1G06923-TAIR-G	3766672
AT1G06925-TAIR-G	837203
AT1G06930-TAIR-G	837204
AT1G06950-TAIR-G	837205
AT1G06960-TAIR-G	837206
AT1G06970-TAIR-G	837207
AT1G06980-TAIR-G	837208
AT1G06990-TAIR-G	837209
AT1G07000-TAIR-G	837210
AT1G07010-TAIR-G	837211
AT1G07020-TAIR-G	837212
AT1G07025-TAIR-G	837213
AT1G07030-TAIR-G	837214
AT1G07040-TAIR-G	837215
AT1G07050-TAIR-G	837216
AT1G07060-TAIR-G	837217
AT1G07070-TAIR-G	837218
AT1G07080-TAIR-G	837219
AT1G07090-TAIR-G	837220
AT1G07110-TAIR-G	837221
AT1G07120-TAIR-G	837222
AT1G07130-TAIR-G	837223
AT1G07135-TAIR-G	837224
AT1G07140-TAIR-G	837225
AT1G07150-TAIR-G	837226
AT1G07160-TAIR-G	837227
AT1G07170-TAIR-G	817551
AT1G07170-TAIR-G	837228
AT1G07175-TAIR-G	6241425
AT1G07180-TAIR-G	837229
AT1G07190-TAIR-G	837230
AT1G07200-TAIR-G	837231
AT1G07210-TAIR-G	837232
AT1G07220-TAIR-G	837233
AT1G07230-TAIR-G	837234
AT1G07240-TAIR-G	837235
